"",46.800
620.0000,3.8260E+002
621.0000,3.8154E+002
622.0000,3.7470E+002
623.0000,3.6641E+002
624.0000,3.7890E+002
625.0000,3.8686E+002
626.0000,3.7679E+002
627.0000,3.7784E+002
628.0000,3.5977E+002
629.0000,3.5423E+002
630.0000,3.6744E+002
631.0000,3.7261E+002
632.0000,3.7890E+002
633.0000,3.8101E+002
634.0000,3.5523E+002
635.0000,3.8260E+002
636.0000,3.7418E+002
637.0000,3.8101E+002
638.0000,3.8207E+002
639.0000,3.5173E+002
640.0000,3.9332E+002
641.0000,3.5024E+002
642.0000,3.6028E+002
643.0000,3.5775E+002
644.0000,3.3413E+002
645.0000,3.4776E+002
646.0000,3.5523E+002
647.0000,3.4334E+002
648.0000,3.4383E+002
649.0000,3.5273E+002
650.0000,3.5074E+002
651.0000,3.3944E+002
652.0000,3.5574E+002
653.0000,3.5826E+002
654.0000,3.6231E+002
655.0000,3.8154E+002
656.0000,3.7157E+002
657.0000,3.5977E+002
658.0000,3.6333E+002
659.0000,3.5775E+002
660.0000,3.6641E+002
661.0000,3.5223E+002
662.0000,3.6282E+002
663.0000,3.6692E+002
664.0000,3.7365E+002
665.0000,3.7890E+002
666.0000,3.3174E+002
667.0000,3.5373E+002
668.0000,3.7942E+002
669.0000,3.5977E+002
670.0000,3.5273E+002
671.0000,3.3461E+002
672.0000,3.4776E+002
673.0000,3.4187E+002
674.0000,3.4628E+002
675.0000,3.4776E+002
676.0000,3.4138E+002
677.0000,3.4727E+002
678.0000,3.3557E+002
679.0000,3.4974E+002
680.0000,3.2794E+002
681.0000,3.4579E+002
682.0000,3.4090E+002
683.0000,3.4334E+002
684.0000,3.4334E+002
685.0000,3.4530E+002
686.0000,3.5473E+002
687.0000,3.5074E+002
688.0000,3.4138E+002
689.0000,3.4041E+002
690.0000,3.5173E+002
691.0000,3.3413E+002
692.0000,3.2512E+002
693.0000,3.2091E+002
694.0000,3.4138E+002
695.0000,3.2984E+002
696.0000,3.3895E+002
697.0000,3.4530E+002
698.0000,3.5423E+002
699.0000,3.5173E+002
700.0000,3.3750E+002
701.0000,3.2747E+002
702.0000,3.3847E+002
703.0000,3.3365E+002
704.0000,3.4187E+002
705.0000,3.4925E+002
706.0000,3.3127E+002
707.0000,3.4138E+002
708.0000,3.2889E+002
709.0000,3.3318E+002
710.0000,3.1767E+002
711.0000,3.2231E+002
712.0000,3.5323E+002
713.0000,3.3606E+002
714.0000,3.3847E+002
715.0000,3.5977E+002
716.0000,3.5876E+002
717.0000,3.3557E+002
718.0000,3.3993E+002
719.0000,3.4727E+002
720.0000,3.5876E+002
721.0000,3.5725E+002
722.0000,3.3557E+002
723.0000,3.3461E+002
724.0000,3.2324E+002
725.0000,3.3127E+002
726.0000,3.2277E+002
727.0000,3.1445E+002
728.0000,3.4925E+002
729.0000,3.5323E+002
730.0000,3.6079E+002
