"",46.800
320.0000,-3.5677E+002
321.0000,-3.5705E+002
322.0000,-3.5593E+002
323.0000,-3.5521E+002
324.0000,-3.5399E+002
325.0000,-3.5308E+002
326.0000,-3.5237E+002
327.0000,-3.5194E+002
328.0000,-3.5182E+002
329.0000,-3.5158E+002
330.0000,-3.5138E+002
331.0000,-3.5128E+002
332.0000,-3.5120E+002
333.0000,-3.5081E+002
334.0000,-3.5061E+002
335.0000,-3.5046E+002
336.0000,-3.5032E+002
337.0000,-3.4993E+002
338.0000,-3.4939E+002
339.0000,-3.4899E+002
340.0000,-3.4868E+002
341.0000,-3.4853E+002
342.0000,-3.4885E+002
343.0000,-3.4859E+002
344.0000,-3.4918E+002
345.0000,-3.4907E+002
346.0000,-3.4969E+002
347.0000,-3.4895E+002
348.0000,-3.4842E+002
349.0000,-3.4800E+002
350.0000,-3.4721E+002
351.0000,-3.4673E+002
352.0000,-3.4591E+002
353.0000,-3.4536E+002
354.0000,-3.4527E+002
355.0000,-3.4469E+002
356.0000,-3.4382E+002
357.0000,-3.4339E+002
358.0000,-3.4245E+002
359.0000,-3.4209E+002
360.0000,-3.4158E+002
361.0000,-3.4112E+002
362.0000,-3.4040E+002
363.0000,-3.4019E+002
364.0000,-3.3965E+002
365.0000,-3.3915E+002
366.0000,-3.3884E+002
367.0000,-3.3859E+002
368.0000,-3.3838E+002
369.0000,-3.3782E+002
370.0000,-3.3777E+002
371.0000,-3.3779E+002
372.0000,-3.3781E+002
373.0000,-3.3587E+002
374.0000,-3.3392E+002
375.0000,-3.3630E+002
376.0000,-3.3587E+002
377.0000,-3.3606E+002
378.0000,-3.3551E+002
379.0000,-3.3553E+002
380.0000,-3.3536E+002
381.0000,-3.3504E+002
382.0000,-3.3511E+002
383.0000,-3.3483E+002
384.0000,-3.3462E+002
385.0000,-3.3422E+002
386.0000,-3.3425E+002
387.0000,-3.3431E+002
388.0000,-3.3389E+002
389.0000,-3.3453E+002
390.0000,-3.3414E+002
391.0000,-3.3385E+002
392.0000,-3.3338E+002
