"",46.800
625.0000,-3.0324E+001
626.0000,-2.6752E+001
627.0000,-7.0498E+001
628.0000,-3.0949E+001
629.0000,-3.4358E+001
630.0000,-3.3970E+001
631.0000,-6.2824E+001
632.0000,-1.8963E+001
633.0000,-2.6229E+001
634.0000,-3.6601E+001
635.0000,-9.0651E+000
636.0000,-1.1991E+001
637.0000,-4.0238E+001
638.0000,-3.2791E+001
639.0000,-5.8924E+001
640.0000,-6.6203E+001
641.0000,-8.9779E+001
642.0000,-7.1099E+001
643.0000,-5.3547E+001
644.0000,-7.1480E+001
645.0000,-7.7861E+001
646.0000,-5.2132E+001
647.0000,-4.2489E+001
648.0000,-3.6504E+001
649.0000,-2.7568E+001
650.0000,-4.1926E+001
651.0000,-3.9236E+001
652.0000,-6.9167E+001
653.0000,-3.3852E+001
654.0000,-2.8330E+001
655.0000,-3.6533E+001
656.0000,-6.4560E+001
657.0000,-2.0551E+001
658.0000,-6.8737E+001
659.0000,-3.2368E+001
660.0000,-1.4804E+001
661.0000,-3.4123E+001
662.0000,-5.3086E+001
663.0000,-4.4479E+001
664.0000,6.4062E+000
665.0000,1.6540E+001
666.0000,-4.7315E+001
667.0000,-4.5538E+001
668.0000,2.1779E+001
669.0000,-4.1170E+001
670.0000,-2.9118E+001
671.0000,-5.6027E+001
672.0000,-5.4488E+001
673.0000,-2.7327E+001
674.0000,-6.2342E+001
675.0000,-3.5221E+001
676.0000,-5.1981E+001
677.0000,-1.9385E+001
678.0000,-2.3520E+001
679.0000,-2.2734E+001
680.0000,-3.2943E+001
681.0000,-3.7820E+001
682.0000,-4.4805E+001
683.0000,-2.4197E+001
684.0000,-2.3653E+001
685.0000,-1.2046E+001
686.0000,-7.4815E+000
687.0000,-5.4934E+001
688.0000,-1.6016E+001
689.0000,-2.8209E+001
690.0000,-6.2578E+000
691.0000,-5.0294E+001
692.0000,-3.0317E+001
693.0000,-2.8409E+001
694.0000,-2.3689E+001
695.0000,-5.3022E+001
696.0000,-3.6725E+001
697.0000,-1.0044E+001
698.0000,-1.1835E+001
