"",46.800
321.0000,-1.9411E+001
322.0000,-6.6130E+001
323.0000,-2.5577E+001
324.0000,-4.5113E+001
325.0000,-2.1665E+001
326.0000,-1.7464E+001
327.0000,-8.9444E+000
328.0000,-7.4966E+000
329.0000,-7.0740E+000
330.0000,-6.6663E+000
331.0000,-1.1056E+000
332.0000,-1.8271E+000
333.0000,-1.3553E+001
334.0000,-4.2981E+000
335.0000,-7.3649E+000
336.0000,3.7566E+000
337.0000,-1.8152E+001
338.0000,-7.5158E+000
339.0000,-6.6161E+000
340.0000,-5.1152E+000
341.0000,1.1544E+001
342.0000,1.5348E+001
343.0000,1.0787E+001
344.0000,6.0095E+001
345.0000,3.0477E+001
346.0000,2.5540E+001
347.0000,-3.1412E+001
348.0000,-4.0547E+001
349.0000,-3.3727E+000
350.0000,-8.8692E+000
351.0000,1.7727E+001
352.0000,-5.5377E+001
353.0000,-2.4217E+001
354.0000,-4.8429E+000
355.0000,-3.3614E+001
356.0000,-2.2722E+001
357.0000,-6.3855E+001
358.0000,-1.3746E+001
359.0000,-1.5646E+001
360.0000,5.4045E+000
361.0000,-1.3917E+001
362.0000,-1.4224E+001
363.0000,2.8786E-001
364.0000,1.9331E+000
365.0000,-3.9529E+000
366.0000,-4.5447E+000
367.0000,1.1389E+000
368.0000,-1.3004E+001
369.0000,-1.1322E+001
370.0000,1.3670E+001
371.0000,1.9733E+001
372.0000,9.7615E+000
373.0000,-1.5675E+001
374.0000,-4.2824E+000
375.0000,-1.8010E+001
376.0000,-1.8614E+001
377.0000,-5.3005E+000
378.0000,-2.3699E+001
379.0000,2.8797E+001
380.0000,-1.1184E+001
381.0000,-4.4195E+000
382.0000,-6.8400E+000
383.0000,-9.9557E+000
384.0000,-5.2497E+000
385.0000,-1.5952E-001
386.0000,1.6525E-001
387.0000,2.0363E+001
388.0000,3.0486E+000
389.0000,2.2229E+001
390.0000,4.0712E+000
391.0000,2.3646E+000
392.0000,2.9877E+001
393.0000,-7.0752E+000
394.0000,-3.8988E+000
395.0000,-7.3452E+000
396.0000,-2.4121E+001
397.0000,6.2890E+000
398.0000,3.1585E+001
399.0000,-1.0038E+001
400.0000,5.8960E+000
401.0000,1.5412E+001
402.0000,-3.0616E+000
403.0000,3.0228E+000
404.0000,7.7249E+000
405.0000,-9.9701E+000
406.0000,-1.5055E+001
407.0000,-1.1906E+001
408.0000,-1.5959E+001
409.0000,1.9440E-001
410.0000,-1.1505E+001
411.0000,-3.1530E+000
412.0000,5.7238E+000
413.0000,-2.6169E+000
414.0000,7.4142E+000
415.0000,2.4185E+000
416.0000,-4.6342E+000
417.0000,7.1384E+000
418.0000,5.4853E+001
419.0000,2.4717E+000
420.0000,-1.3328E+000
421.0000,1.0919E+000
422.0000,1.1330E+001
423.0000,-1.0032E+001
424.0000,-5.6295E+000
425.0000,-5.6320E+000
426.0000,-1.9973E+001
427.0000,1.8904E+001
428.0000,9.5174E-001
429.0000,1.3523E+001
430.0000,3.0645E+000
431.0000,6.6959E+000
432.0000,4.5002E+000
433.0000,-4.3193E+000
434.0000,-1.0878E+001
435.0000,-6.1708E+000
436.0000,3.6071E+000
437.0000,3.9412E+000
438.0000,6.9742E+000
439.0000,8.6340E+000
440.0000,5.7113E+000
441.0000,3.2970E+001
442.0000,2.2213E+001
443.0000,8.1437E+001
444.0000,-1.5511E+001
445.0000,-2.5831E+001
446.0000,-8.9690E+000
447.0000,-2.0264E+001
448.0000,8.0415E-002
449.0000,-2.2569E+000
450.0000,-2.3472E+000
451.0000,-1.4857E+001
452.0000,-3.7305E+000
453.0000,1.5785E+001
454.0000,2.3686E+001
455.0000,3.2154E+000
456.0000,1.5486E+001
457.0000,1.4764E+001
458.0000,1.2489E+000
459.0000,1.9287E+001
460.0000,4.3971E+001
461.0000,-2.4476E-001
462.0000,-2.1976E+001
463.0000,1.1723E+001
464.0000,6.9321E+000
465.0000,-4.8059E+000
466.0000,1.3958E+001
467.0000,2.9710E+000
468.0000,7.6291E+000
469.0000,-3.5273E+000
470.0000,7.9346E+000
471.0000,5.5615E+000
472.0000,-1.0455E+000
473.0000,-9.8140E-002
474.0000,5.5675E+000
475.0000,2.5546E+000
476.0000,4.1487E+000
477.0000,4.6487E+000
478.0000,-1.4197E+001
479.0000,-7.3974E+000
480.0000,2.7472E+000
481.0000,-7.0108E+000
482.0000,-8.7573E+000
483.0000,8.5434E-001
484.0000,-7.1236E+000
485.0000,-1.7334E+000
486.0000,-3.7562E+000
487.0000,1.5243E+000
488.0000,1.3848E+000
489.0000,-7.7393E+000
490.0000,-5.3774E+000
491.0000,-2.1827E+001
492.0000,-4.7470E+000
493.0000,-1.4646E+001
494.0000,-3.2976E-001
495.0000,-1.3326E+001
496.0000,-1.3943E+001
497.0000,-8.0971E+000
498.0000,-3.3811E+000
499.0000,-1.7873E-001
500.0000,-3.8118E+000
501.0000,-3.9196E+000
502.0000,-8.3741E+000
503.0000,-2.3828E+001
504.0000,-4.1048E+000
505.0000,-3.3570E+000
506.0000,-4.1615E+001
507.0000,-2.5652E+001
508.0000,-2.4768E+001
509.0000,-1.1738E+001
510.0000,-4.2527E+000
511.0000,-5.0810E+000
512.0000,-9.3154E+000
513.0000,-6.8955E+000
514.0000,-1.7109E+001
515.0000,-1.4639E+001
516.0000,-3.9726E+000
517.0000,-1.5409E+001
518.0000,-2.0706E+001
519.0000,-2.1115E+001
520.0000,-2.8638E+001
521.0000,-2.4930E+001
522.0000,2.6109E+000
523.0000,-1.0301E+001
524.0000,-1.1680E+001
525.0000,-1.3781E+001
526.0000,-1.1812E+001
527.0000,-1.0101E+001
528.0000,-8.2687E+000
529.0000,-9.7324E+000
530.0000,-2.5136E+001
531.0000,-2.8054E+001
532.0000,-1.1487E+001
533.0000,-1.3035E+001
534.0000,-3.7126E+001
535.0000,-1.5500E+001
536.0000,-2.2656E+001
537.0000,-1.7834E+001
538.0000,-3.3107E+001
539.0000,-2.8996E+001
540.0000,-1.5320E+001
541.0000,-1.3079E+001
542.0000,-3.5081E+001
543.0000,-2.5688E+001
544.0000,-4.9597E+001
545.0000,-3.3142E+001
546.0000,-2.9679E+001
547.0000,-1.7879E+001
548.0000,-2.5768E+001
549.0000,-2.4533E+001
550.0000,-2.0568E+001
551.0000,-2.7944E+001
552.0000,-2.9724E+001
553.0000,-3.2535E+001
554.0000,-2.3543E+001
555.0000,-1.3932E+001
556.0000,-9.8857E+000
557.0000,-1.3282E+001
558.0000,-2.3895E+001
559.0000,-1.8003E+001
560.0000,-2.4546E+001
561.0000,-1.2462E+001
562.0000,-1.4196E+001
563.0000,-8.1872E-001
564.0000,-8.8314E+000
565.0000,-1.3995E+001
566.0000,-1.2184E+001
567.0000,-3.8003E+000
568.0000,-2.3488E+000
569.0000,-1.4731E+001
570.0000,-1.4418E+001
571.0000,-1.2603E+001
572.0000,-2.8939E+001
573.0000,-3.7901E+001
574.0000,-1.5162E+001
575.0000,-4.2343E+001
576.0000,-2.1790E+001
577.0000,-1.7157E+001
578.0000,-3.6212E+001
579.0000,-1.8472E+001
580.0000,-3.2817E+001
581.0000,-1.9749E+001
582.0000,-1.0741E+001
583.0000,-1.9919E+001
584.0000,-2.6181E+001
585.0000,-2.2896E+001
586.0000,-2.5825E+001
587.0000,-3.1877E+001
588.0000,-3.1880E+001
589.0000,-2.9635E+001
590.0000,-1.3182E+001
591.0000,-2.3412E+001
592.0000,-2.5903E+001
593.0000,-2.9544E+001
594.0000,-5.0210E+001
595.0000,-3.0227E+001
596.0000,-1.7942E+001
597.0000,-2.3892E+001
598.0000,-1.8607E+001
599.0000,-2.4234E+001
600.0000,-2.7234E+001
601.0000,-1.5194E+001
602.0000,-9.4264E+000
603.0000,-1.6757E+001
604.0000,-6.8304E+000
605.0000,-1.9595E+001
606.0000,-1.6208E+001
607.0000,-1.5412E+001
608.0000,-7.3635E+000
609.0000,-6.2492E+000
610.0000,-1.0003E+001
611.0000,-7.5055E+000
612.0000,-4.1421E+000
613.0000,-3.1417E+001
614.0000,-2.0142E+001
615.0000,-2.6212E+001
616.0000,-1.9048E+001
617.0000,-2.4884E+001
618.0000,-1.6283E+001
619.0000,-4.7246E+000
620.0000,-2.1319E+000
621.0000,-4.8238E+000
622.0000,-1.3016E+001
623.0000,-1.3250E+001
624.0000,-6.2781E+000
625.0000,-1.8616E-001
626.0000,-9.7014E+000
627.0000,-1.7409E+001
628.0000,-1.7625E+001
629.0000,-1.7657E+001
630.0000,-1.5757E+001
631.0000,-1.7182E+001
632.0000,-7.6425E+000
633.0000,-5.2086E+000
634.0000,-1.7441E+001
635.0000,-6.5993E-001
636.0000,-5.1921E+000
637.0000,-4.8786E+000
638.0000,-3.0337E+000
639.0000,-2.7225E+001
640.0000,3.6908E+001
641.0000,-3.5903E+001
642.0000,-2.7433E+001
643.0000,-2.3843E+001
644.0000,-4.1498E+001
645.0000,-3.3112E+001
646.0000,-2.3855E+001
647.0000,-2.3376E+001
648.0000,-2.1297E+001
649.0000,-1.3468E+001
650.0000,-2.0020E+001
651.0000,-2.2128E+001
652.0000,-2.5124E+001
653.0000,-1.5854E+001
654.0000,-1.0663E+001
655.0000,2.6183E+001
656.0000,2.1145E+000
657.0000,-8.9248E+000
658.0000,-2.2112E+001
659.0000,-7.3004E+000
660.0000,-2.8059E+000
661.0000,-1.4157E+001
662.0000,-6.9167E+000
663.0000,8.3933E-001
664.0000,8.3310E+000
665.0000,2.0710E+001
666.0000,-3.1536E+001
667.0000,-2.0049E+001
668.0000,2.3926E+001
669.0000,-9.2857E+000
670.0000,-1.3515E+001
671.0000,-3.6455E+001
672.0000,-2.4827E+001
673.0000,-1.5422E+001
674.0000,-3.6176E+001
675.0000,-1.4333E+001
676.0000,-2.5056E+001
677.0000,-8.4812E+000
678.0000,-1.6765E+001
679.0000,-1.0857E+001
680.0000,-2.5652E+001
681.0000,-2.0838E+001
682.0000,-2.3643E+001
683.0000,-1.4180E+001
684.0000,-1.3761E+001
685.0000,-6.4098E+000
686.0000,-8.2272E-001
687.0000,-1.0765E+001
688.0000,-9.2061E+000
689.0000,-1.8948E+001
690.0000,-2.3476E+000
691.0000,-2.4616E+001
692.0000,-2.2945E+001
693.0000,-2.4646E+001
694.0000,-1.3903E+001
695.0000,-3.9584E+001
696.0000,-1.6129E+001
697.0000,-4.1884E+000
698.0000,3.3541E+000
699.0000,1.5995E+000
700.0000,-1.9607E+001
701.0000,-1.4741E+001
702.0000,-7.7189E+000
703.0000,-1.7285E+001
704.0000,-3.3498E+000
705.0000,3.6809E+000
706.0000,-4.1291E+001
707.0000,-5.4517E+000
708.0000,-4.9346E+001
709.0000,-4.0315E+001
710.0000,-2.5543E+001
711.0000,-1.3457E+001
712.0000,1.6337E+001
713.0000,-1.0022E+001
714.0000,-2.8771E+000
715.0000,5.2379E+001
716.0000,2.4415E+001
717.0000,-1.2467E+001
718.0000,-2.1081E+000
719.0000,1.1311E+001
720.0000,2.9307E+001
721.0000,2.2665E+001
722.0000,-1.4843E+001
723.0000,-9.0979E+000
724.0000,-1.0568E+001
725.0000,-6.1935E+000
726.0000,-2.3092E+001
727.0000,-2.4956E+001
728.0000,1.8272E+001
729.0000,4.3376E+001
730.0000,6.0987E+001
